ReportingCategory,ReportingSubCategory,UnitOfMeasure,Summary,QuantityDivisor
Azure Active Directory for External Identities,*,1/Month,Count,1
Container PaaS,Containers,1 GB Hour,Duration (GB Hours),1
Container PaaS,Containers,1 GB/Month,Storage (TB),1024
Container PaaS,Containers,1 Hour,Count (from Hours),NumDaysInMonthTimes24Hrs
Container PaaS,Containers,1 Second,Count (from Hours),3600
Container PaaS,Containers,1/Day,Count,NumDaysInMonth
Container PaaS,Security,1,Count,1
Container PaaS,Security,1/Hour,Count,NumDaysInMonthTimes24Hrs
Container PaaS,Web,1 Hour,Count (from Hours),NumDaysInMonthTimes24Hrs
Data PaaS,Analytics,1,Count,1
Data PaaS,Analytics,1 Day,Count (from Hours),DayTo24Hours
Data PaaS,Analytics,1 GB,Data Transfer or Processing (TB),1024
Data PaaS,Analytics,1 GB/Month,Storage (TB),1024
Data PaaS,Analytics,1 Hour,Count (from Hours),NumDaysInMonthTimes24Hrs
Data PaaS,Analytics,1 TB/Month,Storage (TB),1
Data PaaS,Analytics,1 TB,Storage (TB),1
Data PaaS,Analytics,1/Hour,Count,NumDaysInMonthTimes24Hrs
Data PaaS,Analytics,1/Month,Count,1
Data PaaS,Analytics,1K,Execs/Ops (Mil),1000
Data PaaS,Analytics,1M,Execs/Ops (Mil),1
Data PaaS,Cache,1 Hour,Count (from Hours),NumDaysInMonthTimes24Hrs
Data PaaS,Events,1 Hour,Count (from Hours),NumDaysInMonthTimes24Hrs
Data PaaS,Files,1 GiB/Hour,Storage (TB),NumDaysInMonthTimes24HrsDiv1024
Data PaaS,Integration,1 Hour,Count (from Hours),NumDaysInMonthTimes24Hrs
Data PaaS,Integration,1/Month,Count,1
Data PaaS,Integration,1K,Execs/Ops (Mil),1000
Data PaaS,Integration,50K,Execs/Ops (Mil),20
Data PaaS,NoSQL,1 GB/Month,Storage (TB),1024
Data PaaS,NoSQL,1/Hour,Count,NumDaysInMonthTimes24Hrs
Data PaaS,NoSQL,1 Hour,Count (from Hours),NumDaysInMonthTimes24Hrs
Data PaaS,NoSQL,10K,Execs/Ops (Mil),100
Data PaaS,NoSQL,1M,Execs/Ops (Mil),1
Data PaaS,Processing,1 Hour,Count (from Hours),NumDaysInMonthTimes24Hrs
Data PaaS,Security,1/Month,Count,1
Data PaaS,Security,10K,Execs/Ops (Mil),100
Data PaaS,SQL,1 GB/Month,Storage (TB),1024
Data PaaS,SQL,1 GiB/Month,Storage (TB),1024
Data PaaS,SQL,1 Hour,Count (from Hours),NumDaysInMonthTimes24Hrs
Data PaaS,SQL,1/Day,Count,NumDaysInMonth
Data PaaS,Storage,1 /Day,Count,NumDaysInMonth
Data PaaS,Storage,1 GB,Data Transfer or Processing (TB),1024
